person_name_norm,category,film_count,avg_rating
mario barth,actor,3,3.6
bradford roller,actor,3,3.6
melih ekener,actor,6,3.6
gautam gulati,actor,5,3.62
aaron courteau,actor,4,3.625
michael reed,actor,4,3.625
john alan schwartz,actor,3,3.6333333333333333
martin harris,actor,3,3.6333333333333337
jordan abbe,actor,3,3.6333333333333337
michael carr,actor,4,3.65
james morris,actor,4,3.65
oto brezina,actor,4,3.65
john james,actor,4,3.6500000000000004
tom benedict knight,actor,3,3.6666666666666665
ari lehman,actor,3,3.6666666666666665
rob van dam,actor,3,3.6666666666666665
norman anstey,actor,3,3.6666666666666665
tony lorea,actor,3,3.6666666666666665
pawan shankar,actor,3,3.666666666666667
reece connolly,actor,4,3.6750000000000003
thomas downey,actor,7,3.6857142857142855
apostolos gliarmis,actor,3,3.6999999999999997
tomasz mandes,actor,3,3.6999999999999997
paul bentzen,actor,3,3.6999999999999997
nick loeb,actor,4,3.6999999999999997
daffy arellano,actor,4,3.7
lee horsley,actor,3,3.7
dayo ade,actor,3,3.7
jack mullins,actor,3,3.7
scott l. schwartz,actor,3,3.7
herb kaplowitz,actor,3,3.7
justin jones,actor,3,3.7
robert zachar,actor,4,3.725
noel brendan mcalley,actor,4,3.7250000000000005
melvyn rawlinson,actor,3,3.7333333333333334
atmen kelif,actor,4,3.75
mark sheppard,actor,4,3.75
don scribner,actor,3,3.7666666666666666
lyle waggoner,actor,3,3.7666666666666666
naushaad abbas,actor,3,3.7666666666666666
mike mckee,actor,3,3.7666666666666666
omarion,actor,3,3.7666666666666671
erkan petekkaya,actor,4,3.775
charles borromel,actor,4,3.775
ivan djurovic,actor,4,3.775
volkan basaran,actor,4,3.7750000000000004
dost elver,actor,5,3.78
amar adatia,actor,3,3.8
joey smack,actor,3,3.8
m. steven felty,actor,3,3.8
malachi pullar-latchman,actor,3,3.8
richard hench,actor,4,3.8
derek ting,actor,3,3.8000000000000003
ted monte,actor,3,3.8000000000000003
iyad hajjaj,actor,4,3.825
james michael cummings,actor,8,3.825
jason tobias,actor,4,3.825
adam rifkin,actor,7,3.8285714285714278
lech lotocki,actor,3,3.833333333333333
brian lloyd,actor,3,3.833333333333333
carlos east,actor,3,3.8333333333333335
mark grossman,actor,3,3.8333333333333335
bud osborne,actor,3,3.8333333333333335
germaine de leon,actor,3,3.8333333333333335
aleksander vayshelboym,actor,3,3.8333333333333335
charles hubbell,actor,3,3.8333333333333335
barry piacente,actor,3,3.8333333333333335
don nagel,actor,3,3.8333333333333335
erick hayden,actor,4,3.8499999999999996
matt borlenghi,actor,4,3.8499999999999996
jason lockhart,actor,4,3.85
corey sevier,actor,10,3.8500000000000005
neil hopkins,actor,5,3.8600000000000003
sage stallone,actor,3,3.8666666666666667
hamdi alkan,actor,3,3.8666666666666667
robert fucilla,actor,3,3.8666666666666667
jonathan hansler,actor,4,3.875
miles doleac,actor,10,3.88
said faraj,actor,5,3.88
aditya seal,actor,6,3.8833333333333333
sean kanan,actor,8,3.8875
georges st-pierre,actor,5,3.9
stephen brodie,actor,3,3.9
ryan kiser,actor,3,3.9
gale harold,actor,3,3.9
tyron leitso,actor,3,3.9
louis burdi,actor,3,3.9
himesh reshammiya,actor,7,3.9
wesley chan,actor,3,3.9
j. christian ingvordsen,actor,3,3.9
saul meth,actor,3,3.9
niko foster,actor,4,3.9000000000000004
paul marco,actor,3,3.9000000000000004
randy charach,actor,4,3.9000000000000004
david millbern,actor,7,3.9142857142857146
paul sampson,actor,6,3.9166666666666661
jacob grodnik,actor,5,3.92
sinan bengier,actor,8,3.925
scott allen perry,actor,4,3.925
russell richardson,actor,4,3.925
ed gale,actor,4,3.9250000000000003
simon phillips,actor,19,3.9263157894736844
afshin arashtanabieh,actor,3,3.9333333333333331
victor melleney,actor,3,3.9333333333333331
john lee ames,actor,3,3.9333333333333331
john hennigan,actor,3,3.9333333333333331
tamas nadas,actor,3,3.9333333333333336
biagio izzo,actor,6,3.9333333333333336
ceyhun fersoy,actor,3,3.9333333333333336
mark topping,actor,3,3.9333333333333336
cody kasch,actor,3,3.9333333333333336
niek roozen,actor,3,3.9333333333333336
ajay kumar kathurvar,actor,3,3.9333333333333336
emre kivilcim,actor,3,3.933333333333334
yildirim memisoglu,actor,5,3.9400000000000004
jason david brown,actor,5,3.9400000000000004
scott martin,actor,4,3.9499999999999997
toby osmond,actor,4,3.95
byron gibson,actor,8,3.95
james oliver wheatley,actor,5,3.96
craig rees,actor,5,3.96
jamie bacon,actor,3,3.9666666666666663
peter barrett,actor,3,3.9666666666666663
flynn allen,actor,3,3.9666666666666663
steven haar,actor,3,3.9666666666666663
don sullivan,actor,3,3.9666666666666663
faruk aksoy,actor,3,3.9666666666666668
suat sungur,actor,4,3.975
sahan gökbakar,actor,13,3.9769230769230766
tom denucci,actor,6,3.9833333333333334
nick principe,actor,14,3.9857142857142858
don baldaramos,actor,3,3.9999999999999996
john edward lee,actor,4,3.9999999999999996
christopher michael jones,actor,3,4
korhan herduran,actor,3,4
otar saralidze,actor,4,4
mahmoud babai,actor,3,4
steve stanulis,actor,3,4
cayleb long,actor,3,4
carl anthony,actor,3,4
rick hill,actor,4,4
burak satibol,actor,3,4
deniz oral,actor,3,4
garrett coffey,actor,3,4
sam lloyd,actor,3,4
russell ferrier,actor,3,4
eddie alfano,actor,3,4
joe estevez,actor,7,4.0142857142857151
ayhan tas,actor,5,4.02
lee kholafai,actor,5,4.02
paul d. hunt,actor,4,4.025
charlie o'connell,actor,4,4.025
nikita dyuvbanov,actor,4,4.025
john pinette,actor,4,4.025
mikhail galustyan,actor,9,4.0333333333333332
nick carter,actor,3,4.0333333333333332
zebedee row,actor,3,4.0333333333333332
david white,actor,3,4.0333333333333332
lou cutell,actor,3,4.0333333333333332
ozzie devrish,actor,3,4.0333333333333332
jay pickett,actor,3,4.0333333333333332
ardon bess,actor,3,4.0333333333333332
ian serra,actor,3,4.0333333333333332
john turk,actor,3,4.0333333333333332
olivier gruner,actor,5,4.04
gerald okamura,actor,5,4.04
chuck liddell,actor,7,4.0428571428571427
clint hummel,actor,4,4.05
victor izay,actor,4,4.05
brett baxter clark,actor,4,4.05
jérôme deschamps,actor,4,4.0500000000000007
hulk hogan,actor,8,4.0500000000000007
dan haggerty,actor,7,4.0571428571428569
ross hagen,actor,11,4.0636363636363635
caleb thomas,actor,3,4.0666666666666664
spencer collings,actor,3,4.0666666666666664
daniel garcia,actor,3,4.0666666666666664
marshal hilton,actor,3,4.0666666666666664
steve aalam,actor,3,4.0666666666666664
anderson silva,actor,3,4.0666666666666664
bruce kimball,actor,3,4.0666666666666664
johnny walter,actor,3,4.0666666666666664
sami aksu,actor,3,4.0666666666666664
marcus massey,actor,3,4.0666666666666664
donald hodson,actor,3,4.0666666666666664
jake van wagoner,actor,3,4.0666666666666664
jacob witkin,actor,3,4.0666666666666664
jesse kove,actor,4,4.075
david nerman,actor,4,4.075
joel ezra hebner,actor,4,4.075
ricky harris,actor,4,4.075
wayne brady,actor,5,4.08
marco khan,actor,5,4.08
isaac c. singleton jr.,actor,11,4.0818181818181811
sasha mitchell,actor,6,4.083333333333333
john farley,actor,6,4.083333333333333
nick vallelonga,actor,5,4.1
adrian hough,actor,3,4.1
michael s. new,actor,4,4.1
bill martin williams,actor,3,4.1
damian mavis,actor,3,4.1
shea buckner,actor,3,4.1
jon lindstrom,actor,3,4.1
marlon wessel,actor,5,4.1
cem kiliç,actor,3,4.1
j. maxwell bash,actor,3,4.1
adam weppler,actor,3,4.1
alex carter,actor,3,4.1
steve donmyer,actor,3,4.1000000000000005
leon wessel-masannek,actor,5,4.1000000000000005
lorenzo lamas,actor,3,4.1000000000000005
sefa zengin,actor,3,4.1000000000000005
gregory fawcett,actor,3,4.1000000000000005
chris ryle wright,actor,3,4.1000000000000005
adam wylie,actor,5,4.12
gerald webb,actor,5,4.12
andrew barth feldman,actor,4,4.125
gianni russo,actor,4,4.125
rosemberg salgado,actor,4,4.125
robert lasardo,actor,24,4.1291666666666664
les mahoney,actor,3,4.1333333333333329
timothy martin,actor,3,4.1333333333333329
alan maxson,actor,3,4.1333333333333329
louie,actor,3,4.1333333333333329
william ringström,actor,3,4.1333333333333329
