tconst,primaryTitle,startYear,runtimeMinutes,genres,movie_engagement_score,actor_actress_engagement_score,writer_engagement_score,director_engagement_score,cluster_kmeans
tt0022100,M,1931,99,"Crime,Mystery,Thriller",43.62230461755019,40.798625125085415,39.98003514533061,37.98639296297218,0
tt0032553,The Great Dictator,1940,125,"Comedy,Drama,War",45.39742772661895,41.885637630192186,41.69085861679368,42.201704092248875,4
tt0032455,Fantasia,1940,124,"Animation,Family,Fantasy",38.808889832536536,39.37720585038074,39.89171038349145,41.30016954245103,0
tt0033870,The Maltese Falcon,1941,100,"Crime,Drama,Film-Noir",41.373933942856326,44.33900310442986,38.93012704584751,38.71156174229738,4
tt0033467,Citizen Kane,1941,119,"Drama,Mystery",46.6463266814031,43.6646791725892,41.710297749592335,39.76901350879989,4
tt0038650,It's a Wonderful Life,1946,130,"Drama,Family,Fantasy",49.285393967642015,46.490461528119646,38.76262469070996,39.96923059790036,4
tt0043014,Sunset Boulevard,1950,110,"Drama,Film-Noir",45.41161697318369,40.25503133054714,37.79064460550712,40.578760603485115,0
tt0049406,The Killing,1956,84,"Crime,Drama,Film-Noir",39.63782780498832,42.00040524470738,40.07653353871645,44.0320286023697,3
tt0050212,The Bridge on the River Kwai,1957,161,"Adventure,Drama,War",43.66501532862693,43.82913831086402,38.2005542330478,43.34497922487192,4
tt0050976,The Seventh Seal,1957,96,"Drama,Fantasy",43.15652055815888,41.02025017660439,39.508458880179234,39.26901367484481,0
tt0053291,Some Like It Hot,1959,121,"Comedy,Music,Romance",44.916961584244255,41.196788780468935,38.095170183033645,41.601629861909245,4
tt0053125,North by Northwest,1959,136,"Adventure,Drama,Mystery",46.1714425287736,43.32364915071464,40.4663903197337,39.05096450327735,4
tt0055614,West Side Story,1961,153,"Crime,Drama,Musical",38.76661231233418,39.992694189935754,40.02958699586015,39.31012648378801,0
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,"Comedy,War",47.61465629795066,43.30976079527792,44.497360976558646,46.099335471692875,2
tt0059742,The Sound of Music,1965,174,"Biography,Drama,Family",44.17665652335233,40.29096495830542,37.418935208651405,38.55832107229927,0
tt0062622,2001: A Space Odyssey,1968,149,"Adventure,Sci-Fi",48.85101768031603,42.68321969602468,44.22674071354513,46.168163131997154,2
tt0063442,Planet of the Apes,1968,112,"Adventure,Sci-Fi",42.545926198559066,42.04293703867391,38.85823299455777,38.180121106837206,0
tt0064115,Butch Cassidy and the Sundance Kid,1969,110,"Adventure,Biography,Crime",42.99481882270183,43.885119217996944,39.06448353224312,39.8692985653955,4
tt0066921,A Clockwork Orange,1971,136,"Crime,Sci-Fi",48.92189248213182,44.5799840549546,44.16666454410706,46.656710610138894,2
tt0071853,Monty Python and the Holy Grail,1975,91,"Adventure,Comedy,Fantasy",47.359217522156555,45.60835385477028,41.73888306154299,42.00522216213909,4
tt0072684,Barry Lyndon,1975,185,"Adventure,Drama,War",42.923342852994445,41.13079788860857,40.59909384500256,43.96949160003362,3
tt0075686,Annie Hall,1977,93,"Comedy,Romance",43.13243944349427,42.74508112138046,38.817169933889126,40.41115725717373,4
tt0078788,Apocalypse Now,1979,147,"Drama,Mystery,War",49.38166227760463,48.22916233099696,42.7525974963965,39.6814953191876,5
tt0078748,Alien,1979,117,"Horror,Sci-Fi",51.15305868649796,47.780111375366566,38.91686272419548,43.205838282713344,5
tt0081505,The Shining,1980,146,"Drama,Horror",51.05495450482604,47.50963545329222,42.82342143069896,48.34831433883824,5
tt0083866,E.T. the Extra-Terrestrial,1982,115,"Adventure,Family,Sci-Fi",44.76057875600423,40.54240497743879,39.30577210506544,42.01541056667604,0
tt0084787,The Thing,1982,109,"Horror,Mystery,Sci-Fi",46.830202413782125,43.35526268940174,39.797292768372,39.634528494296,4
tt0085959,Monty Python's the Meaning of Life,1983,107,"Comedy,Musical",38.32532980864395,43.770929514926856,41.70743516905775,41.67411852019982,3
tt0088258,This Is Spinal Tap,1984,82,"Comedy,Music",41.02491448150636,43.52550492952338,37.237334984748095,38.60706222978036,0
tt0087544,Nausicaä of the Valley of the Wind,1984,117,"Adventure,Animation,Sci-Fi",42.30193026141838,42.41343968373194,38.93798562960635,44.03948502607249,4
tt0088763,Back to the Future,1985,116,"Adventure,Comedy,Sci-Fi",52.28332066061058,46.68925385890802,41.88828414777157,43.37797238602054,5
tt0090605,Aliens,1986,137,"Action,Adventure,Horror",49.70400568728704,48.385753910360215,40.88297197641461,45.91922396359243,5
tt0093773,Predator,1987,107,"Action,Adventure,Horror",44.383978756261904,42.121304297671216,37.776783930263285,39.78615053865686,4
tt0094721,Beetlejuice,1988,92,"Comedy,Fantasy",41.551034944528155,40.07874498455195,37.628556716086784,40.63772329674933,0
tt0095016,Die Hard,1988,132,"Action,Thriller",49.22332773210779,46.213252129305815,38.67199542533524,40.636765121448285,4
tt0095327,Grave of the Fireflies,1988,88,"Animation,Drama,War",47.3089339710069,42.12545976163671,40.2518109623722,40.24074398923536,4
tt0097814,Kiki's Delivery Service,1989,103,"Animation,Family,Fantasy",41.04545210798434,40.6102435248383,39.97767072454303,44.29338536521297,3
tt0097351,Field of Dreams,1989,107,"Drama,Family,Fantasy",38.519955167052245,42.29272050220709,39.99033641879255,39.72353654646554,0
tt0096874,Back to the Future Part II,1989,108,"Adventure,Comedy,Sci-Fi",45.1259558672997,45.31551293247107,41.99816195017888,43.49175781255764,2
tt0096754,The Abyss,1989,140,"Adventure,Drama,Mystery",39.84832280329672,40.17737727314942,41.07874542822927,42.738263090797474,3
